sitios,Raja radiata,Raja naevus,Raja undulata,Raja clavata,Raja microocellata,Raja brachyura,Raja montagui,Torpedo marmorata,Torpedo nobiliana,Squalus acanthias,Scyliorhinus canicula,Scyliorhinus stellaris,Mustelus mustelus,Mustelus asterias,Galeorhinus galeus,Anguilla anguilla,Conger conger,Gadus morhua,Melanogrammus aeglefinus,Merlangius merlangus,Trisopterus minutus,Trisopterus luscus,Pollachius pollachius,Molva molva,Ciliata mustela,Rhinonemus cimbrius,Gaidropsarus mediterraneus,Gaidropsarus vulgaris,Raniceps raninus,Merluccius merluccius,Coryphaenoides rupestris,Lophius piscatorius,Gasterosteus aculeatus,Syngnathus acus,Syngnathus rostellatus,Entelurus aequoreus,Hippocampus ramulosus,Hippocampus hippocampus,Capros aper,Spondyliosoma cantharus,Mullus surmuletus,Cepola rubescens,Dicentrarchus labrax,Labrus mixtus,Labrus bergylta,Centrolabrus exoletus,Ctenolabrus rupestris,Crenilabrus melops,Zoarces viviparus,Pholis gunnellus,Chirolophis ascanii,Lumpenus lumpretaeformis,Echiichthys vipera,Trachinus draco,Blennius ocellaris,Parablennius gattorugine,Diplecogaster bimaculata,Perciformes sp,Gobius paganellus,Gobius niger,Gobius gasteveni,Lesueurigobius friesii,Solea solea,Buglossidium luteum,Solea lascaris,Microchirus variegatus,Pleuronectes platessa,Platichthys flesus,Limanda limanda,Microstomus kitt,Glyptocephalus cynoglossus,Hippoglossoides platessoides,Hippoglossus hippoglossus,Scophthalmus rhombus,Scophthalmus maximus,Lepidorhombus whiffiagonis,Phrynorhombus regius,Phrynorhombus norvegicus,Zeugopterus punctatus,Arnoglossus laterna,Arnoglossus imperialis,Trigla lucerna,Aspitrigla cuculus,Eutrigla gurnardus,Trigloporus lastoviza,Myxocephalus scorpius,Taurulus bubalis,Agonus cataphractus,Cyclopterus lumpus,Liparis liparis,Zeus faber,Mola mola,Chelon labrosus,zona
S14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,42.625,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5,0,0,0,0,18,128,0,0,86,0,1038.75,1.25,0,0,0,0,1,0,0,0,0,60,0,6,0,16,0,0,0,12.6667,0,0,0,0,0,East Central North Sea
S15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16667,0,30.75,0,131.143,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,90,0,0,0,0,113.76,37.5,0,0,155.493,71.3142,452.701,68,0,0,0,0.75,2.13875,0,0,1,0,16.0737,0,2.33333,0,7.1885,0,3.5,0,56.8612,0,0,0,0,0,East Central North Sea
S16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7584,0.97125,47.2856,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.8534,0,0,0,0,12.922,60.1208,0,0,55.4821,0,709.932,2.63667,0,0,0,1.2,1.08333,0,0,0,0,32.3882,0,2.26875,0,44.2498,0,0,0,23.3598,0,0,0,0,0,East Central North Sea
S17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35453,0,77.566,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,23.8656,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,219.057,0,0,0,0,105.661,82.186,0,0,798.046,4.13729,953.208,14.5326,0,0,0,2.84104,4.40677,0,0,0,0,59.8925,0,13.9383,0,56.5412,0,105.679,0,66.7035,0,0,0,0,0,East Central North Sea
S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91812,0,75.4795,0,49.8341,0,2.70906,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,0,0,0,0,0,0,0,0,423.3,0,0,0,0,162.68,59.0841,0,0,1229.29,88.8792,1500.75,35.8701,0,0,0,1.95609,1.375,0,0,0,0,79.056,0,14.5,0,8.75,0,71.4268,0,455.957,0,0,0,0,0,East Central North Sea
S19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4997,0,380.904,0,45.3608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65875,0,0,0,0,0,0,0,9.433,0,0,0,0,0,0,0,0,140.249,0,0,0,0,73.7997,119.822,0,0,454.67,22.6388,640.463,14,0,0,0,1,1.91667,0,0,0,0,18.9566,0,4.39323,0,14.6519,0,35.6666,0,165.171,0,0,0,0,0,East Central North Sea
S20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.25,0,264.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,95.3822,0,0,0,0,42.6424,95.5597,0,0,906.558,16.2225,1482.46,2.5,0,0,0,2.12141,1.91188,0,0,0,0,41.3714,0,10.2301,0,22.3836,0,22.2061,0,101.663,0,0,0,0,0,East Central North Sea
S21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88125,0,0,0,0,17.3721,0,0,0,0,15.5845,102.235,0,0,600.094,5.66667,2147.21,10,0,0,0,0.638929,1.61016,0,0,0,0,30.1448,0,12.3379,0,54.2426,0,5,0,13.2937,0,0,0,0,0,East Central North Sea
S22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,12.3333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.941875,0,0,0,0,0,0,0,0,72.3002,0,0,0,0,16.5863,42.444,0,0,828.549,1.26911,1772.12,4.66667,0,0,0,1.78571,2.07849,0,0,0,0,33.814,0,5.80427,0,61.354,0,7.34594,0,40.2429,0,0,0,0,0,East Central North Sea
S23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86062,0,357.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32188,0,0,0,0,0,0,0,8.36063,0,0,0,0,0,0,0,0,41.7669,0,0,0,0,18.62,47.8042,0,0,680.669,20.5922,559.718,6.51771,0,0,0,3.55152,7.27406,0,0,0,0,12.7812,0,9.2617,0,7.07729,0,15.2101,0,123.413,0,0,0,0,0,East Central North Sea
S24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73563,3.98563,17.9591,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.125,0,0,0,0,0.97125,0.97125,0,0,72.2213,0,345.49,5.44469,0,0,0,0,1,0,0,0,0,12.8237,0,0,0,43.5192,0,0,0,0.97125,0,0,0,0,0,East Central North Sea
S25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,46,0,0,0,0,7.125,36,0,0,138,0,569.5,0,0,4,0,1.16667,2,0,0,0,0,27,0,2.5,0,84.3333,0,0,0,10.5,0,0,0,0,0,East Central North Sea
S26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1792,0,14.5639,0.97125,0,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8712,0,0,0,0,15.501,41.2333,0,0,421.297,1,1094.63,8.30139,0,0,0,0.666667,1.20833,0,0,0,0,21.7421,0,6.7476,0,95.441,0,4.31417,0,36.4698,0,0,0,0,0,East Central North Sea
S27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.98958,0,65.1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,49.5772,0,0,0,0,31.8468,49.2976,0,0,829.704,8.15677,1876.82,33.3644,0,0,0,2.10215,2.6863,0,0,0,0,27.2515,0,7.3137,0,83.4159,0,16.0202,0,177.846,0,0,0,0,0,East Central North Sea
S28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3156,0,214.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88125,0,0,0,0,0,0,0,21.1455,0,0,0,0,0,0,0,0,32.2886,0,0,0,0,21.6513,41.1392,0,0,1658.7,13.0463,1697.63,47,0,0,0,1.49521,4.91208,0,0,0,0,10.3512,0,6.12979,0,2.82188,0,15.5747,0,295.009,0,0,0,0,0,East Central North Sea
S29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.4971,0,678.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6354,0,0,0,0,0,0,0,0,46.2741,0,0,0,0,11.3879,37.2084,0,0,1483.87,38.9107,1565.37,6.02,0,0,0,2.78813,4.38508,0,0,0,0,13.0806,0,2.2,0,5.77797,0,80.8249,0,252.533,0,0,0,0,0,East Central North Sea
S30,0.97125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86062,5.83187,33.7788,0,0,0,0,0,4.86062,0,0,0,0.97125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,38.0409,0,0,0,0,4.70188,2,0,0,30.0697,0,279.221,1.97125,0.97125,30.875,0,0,0.485625,0,0,0,0,0,0,0,0,14.6659,0,0,0,2.91812,0,0,0,0,0,East Central North Sea
S31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88937,0,0,0,0,21.3894,0,0,0,0,2.4325,12.6394,0,0,124.442,0,220.054,0,0,0,0,0,1.45687,0,0,0,0,7.77875,0,0.97125,0,53.4712,0,0,0,14.5819,0,0,0,0,0,East Central North Sea
S32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.60417,0,0,0,0,0,0,0,0,37.0513,0,0,0,0,10.7148,38.4038,0,0,719.216,9.49281,2352.7,1.9425,0,0,0,4.86062,2.75575,0,0,0,0,29.9279,0,1.97844,0,252.567,0,4,0,100.652,0,0,0,0,0,East Central North Sea
S33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23844,0,38.0446,0,0,0,0,0,0,0,0,0,0.940625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31396,0,0,0,0,16.6369,0,0,0,0,4.35328,38.4106,0,0,350.7,1,1021.88,1.06,0,0,0,1.5,0.5,0,0,0,0,25.1073,0,1.64688,0,30.7222,0,0,0,10.9406,0,0,0,0,0,East Central North Sea
S34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.4928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10.216,0,0,0,0,15.417,13.7331,0,0,582.298,2,421.467,1.97031,0,0,0,1.74281,1.36422,0,0,0,0,11.2705,0,1.98083,0,22.8673,0,0,0,13.1545,0,0,0,0,0,East Central North Sea
S35,3.40156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2091,1.94469,24.7909,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6681,0,0,0,0,0,0,0,0,13.6106,0,65.1372,0.97125,0,28.1925,0,0,0,0,0,0.97125,0,0,0,0,0,35.9712,0,0,0,1.9425,0,0,0,0,0,East Central North Sea
S36,1.51156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13188,0.97125,19.8756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1209,0,0,0,0,0,0,0,0,19.4425,0,81.1278,0,0,22.3606,0,0,0.485625,0,0,0,0,0.97125,0,0,0,19.1756,0,0,0,0,0,0,0,0,0,East Central North Sea
S37,14.5819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24187,6.47937,4.86062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47937,0,0,0,0,0,0,0,0,19.4425,0,149.074,0,0,24.3075,0,0,0,0,0,0,0,0,0,0,0,71.295,0,0,0,0,0,0,0,0,0,East Central North Sea
S38,1.32562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.86062,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.31417,0,0,0,0,4.1125,0,0,0,28.42,0,103.238,0,0,18.9904,0,0,0,0,0,0,0,0,0,0,0,45.0742,0,0,0,0,0,0,0,0,0,East Central North Sea
S39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45687,0,8.26437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6325,0,0,0,0,6.68719,4.19271,0,0,49.3004,0,177.707,1.9425,0,0,0,0.485625,0,0,0,0,0,5.75531,0,0.940625,0,32.5019,0,0,0,6.58437,0,0,0,0,0,East Central North Sea
S40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,298.471,0,0,0.97125,0,0,0,0,0,0,0,0,0,0,0,2.91812,0,0,0,0,0,0,0,0,0,East Central North Sea
S41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38938,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83187,0,0,0,0,0.97125,0.97125,0,0,5.54313,0,122.014,5.83187,0,0,0,0,0,0,0,0,0,1.06969,0,0,0,22.5553,0,0,0,1.16813,0,0,0,0,0,East Central North Sea
S42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2306,0,0,0,0,12.1538,3.64438,0,0,153.125,0,133.682,0,0,1.21625,0,0,0,0,0,0,0,4.86062,0,1.21625,0,29.1681,0,0,0,8.505,0,0,0,0,0,East Central North Sea
S43,1.9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,1.9425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72125,0,0,0,0,0,0,0,0,18.4713,0,109.861,0,0,47.6394,0,0,0,0,0,0,0,0,0,0,0,49.5819,0,0,0,0,0,0,0,0,0,East Central North Sea
S44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83187,0,3.88937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88937,0,44.7212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4569,0,0,0,0,0,0,0,0,0,East Central North Sea
S45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0556,62.5013,4.93062,0,0,0,0,0,0,0,0,0,0.97125,0,1.17906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91812,0,0,0,0,0,0,0,0,27.2213,0,82.7072,0,0,2.77813,0,0,0,0,0,1.38688,0,0.97125,0,0,0,12.2216,0,0,0,0.97125,0,0,0,0,0,East Central North Sea
S46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.96625,35,0,0,0,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97125,0,0,0,0,0,0,0,0,3.64656,0,48.8534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8247,0,0,0,0,0,0,0,0,0,East Central North Sea
S47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1681,36.1681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16813,0,0,0,0,0,0,0,0,2.33188,0,366.332,2.33188,0,17.5,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,3.5,0,0,0,0,0,East Central North Sea
S96,0,0,0,6,0,8,2,0,0,0,10,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31.5,0,0,0,0,1,34,0,13,2,0,0,1,0,0,0,2,0,0,0,0,0,16,0,2,5,5,0,0,0,0,0,0,1,0,0,Eastern Irish Sea
S97,0,1,0,8.2,0,2,8,0,0,0,2.25,0,0,0,0,0,0,0,0,5.5,12.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0,0,0,0,26,2.33333,0,0,0,40.4444,0,6,0,0,5,127.8,1,6.6,37.4,0,330.2,0,0,0,0,1.8,0,0,0,0,0,55.6,0,2,1,23.8,0,0,1,3.5,0,0,0,0,0,Eastern Irish Sea
S98,0,0,0,38,0,1,0,0,0,0,4,5,0,0,0,0,0,4,0,1,138,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,0,0,0,0,1,38,0,74,1,0,2,1,0,0,0,0,0,0,0,1,0,5,0,0,3,2,0,1,1,2,0,0,0,0,0,Eastern Irish Sea
S99,0,0,0,25,0,6,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eastern Irish Sea
S100,0,0,0,25.5,0,0,0,0,0,0,8.5,0,0,0,0,0,0,1,0,32,33.5,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,5,207,0,1,6,0,401.5,0,0,0,0,6,1,0,0,0,0,2,0,1,0,15,0,0,0,0,0,0,0,0,0,Eastern Irish Sea
